benchmark,dataset_name,condition,noise_percent,sampling_fraction,seed,method,support_power_ok,operator_structure_ok,e_alpha,e_beta_max,e_xi_max,e_xi_l2,fit_residual,selected_equation
FADE,paper_FADE_tsfade_fft,additive_gaussian,10.0,1.0,0,Strong Pareto,False,False,0.023911129598161995,0.9371062898502509,0.9196878955398649,nan,0.836990152120565,D_t^0.77609 u = (-0.080312)*D_x^1.93711 u
FADE,paper_FADE_tsfade_fft,additive_gaussian,10.0,1.0,0,Weak-Pareto,True,True,0.0002772414160902015,0.14493919967325142,0.1246837905245608,0.11457017987837616,0.03181328278028936,D_t^0.79972 u = (-1.1119)*D_x^1.01583 u + (0.56234)*D_x^1.55506 u
FADE,paper_FADE_tsfade_fft,additive_gaussian,10.0,1.0,1,Strong Pareto,False,False,0.014293526180588323,0.9253932616798626,0.9167030462148131,nan,0.8363998991107345,D_t^0.78571 u = (-0.083297)*D_x^1.92539 u
FADE,paper_FADE_tsfade_fft,additive_gaussian,10.0,1.0,1,Weak-Pareto,True,True,0.003445284897140022,0.11176609697614048,0.2627269464638998,0.1809628168708312,0.02624881746402226,D_t^0.79655 u = (-1.1539)*D_x^1.03399 u + (0.63136)*D_x^1.58823 u
FADE,paper_FADE_tsfade_fft,additive_gaussian,10.0,1.0,2,Strong Pareto,False,False,0.03960992181042644,0.9139086023381755,0.9181614734826447,nan,0.8374205463487332,D_t^0.76039 u = (-0.081839)*D_x^1.91391 u
FADE,paper_FADE_tsfade_fft,additive_gaussian,10.0,1.0,2,Weak-Pareto,True,True,0.0001744113115014212,0.11971308821315918,0.20365571774358285,0.14698781988616041,0.02769131093315208,D_t^0.80017 u = (-1.129)*D_x^1.02640 u + (0.60183)*D_x^1.58029 u
FADE,paper_FADE_tsfade_fft,additive_gaussian,10.0,1.0,3,Strong Pareto,False,False,0.014499060240248163,0.9383404417402135,0.9170384670845197,nan,0.8377693605875772,D_t^0.78550 u = (-0.082962)*D_x^1.93834 u
FADE,paper_FADE_tsfade_fft,additive_gaussian,10.0,1.0,3,Weak-Pareto,True,True,0.0014063934245580612,0.1067624643093541,0.18747076327178236,0.1385498246675025,0.03031170637250657,D_t^0.79859 u = (-1.1233)*D_x^1.02498 u + (0.59374)*D_x^1.59324 u
FADE,paper_FADE_tsfade_fft,additive_gaussian,10.0,1.0,4,Strong Pareto,False,False,0.02191589238027003,0.9720744321592707,0.9263618387242726,nan,0.8390138180527259,D_t^0.77808 u = (-0.073638)*D_x^1.97207 u
FADE,paper_FADE_tsfade_fft,additive_gaussian,10.0,1.0,4,Weak-Pareto,True,False,0.004774968531853663,0.18605189356417817,0.4463347762202374,0.3111132781739445,0.032411013811316454,D_t^0.79523 u = (-1.2668)*D_x^1.04974 u + (0.72317)*D_x^1.51395 u
Fractional Burgers,synthetic_fractional_burgers,additive_gaussian,10.0,1.0,0,Strong Pareto,False,False,0.14999745528975406,0.24106622834426283,1.4456575114090773,nan,0.8305699963012646,D_t^0.85000 u = (-0.11141)*D_x^1.94107 u
Fractional Burgers,synthetic_fractional_burgers,additive_gaussian,10.0,1.0,0,Weak-Pareto,True,True,0.0,0.0050118769254094975,0.016946683521626475,0.005958794817086863,0.08417930020773669,partial_t u = (0.24576)*D_x^1.69499 u + (-1.0044)*u D_x^0.99926 u
Fractional Burgers,synthetic_fractional_burgers,additive_gaussian,10.0,1.0,1,Strong Pareto,False,False,0.1499977333132555,0.2249710751514853,1.458151298408584,nan,0.8300507789041537,D_t^0.85000 u = (-0.11454)*D_x^1.92497 u
Fractional Burgers,synthetic_fractional_burgers,additive_gaussian,10.0,1.0,1,Weak-Pareto,True,True,0.0,0.007678647724904675,0.0044350763991113425,0.0043635569498470025,0.07411104016353243,partial_t u = (0.24925)*D_x^1.70768 u + (-0.99556)*u D_x^0.99988 u
Fractional Burgers,synthetic_fractional_burgers,additive_gaussian,10.0,1.0,2,Strong Pareto,False,False,0.14999827374032504,0.22402203089393047,1.4651829746062022,nan,0.8310743997167996,D_t^0.85000 u = (-0.1163)*D_x^1.92402 u
Fractional Burgers,synthetic_fractional_burgers,additive_gaussian,10.0,1.0,2,Weak-Pareto,True,False,0.011500614571034795,0.002371414935269156,0.0353996612611739,0.034473954173305364,0.08232813896049493,D_t^0.98850 u = (0.2531)*D_x^1.69763 u + (-1.0354)*u D_x^1.00014 u
Fractional Burgers,synthetic_fractional_burgers,additive_gaussian,10.0,1.0,3,Strong Pareto,False,False,0.1499996360984126,0.25020037958366625,1.4423396145027378,nan,0.8311160819878394,D_t^0.85000 u = (-0.11058)*D_x^1.95020 u
Fractional Burgers,synthetic_fractional_burgers,additive_gaussian,10.0,1.0,3,Weak-Pareto,True,True,0.0,0.00218902733284998,0.012988205362938439,0.010090880918182256,0.08022774143754151,partial_t u = (0.24675)*D_x^1.69781 u + (-0.99012)*u D_x^1.00082 u
Fractional Burgers,synthetic_fractional_burgers,additive_gaussian,10.0,1.0,4,Strong Pareto,False,False,0.15000000000000002,0.2831475496851421,1.4002182307411686,nan,0.8328856445684963,D_t^0.85000 u = (-0.10005)*D_x^1.98315 u
Fractional Burgers,synthetic_fractional_burgers,additive_gaussian,10.0,1.0,4,Weak-Pareto,True,True,0.0,0.0008446100830088454,0.012930192606678399,0.003156338623465081,0.0815302734026077,partial_t u = (0.24677)*D_x^1.70084 u + (-1.0004)*u D_x^0.99993 u
