benchmark,noise_percent,seed,support_power_ok,operator_structure_ok,selected_alpha_mode,truth_alpha_mode,e_alpha,e_beta_max,e_xi_max,e_xi_l2,full_data_rel_l2
Frac. RD (space),0.0,0,1,1,integer,integer,0.0,0.0005580172053214483,0.006022099485316333,0.004178302783808291,0.0041433096785945134
Frac. RD (space),0.0,1,1,1,integer,integer,0.0,0.0006217715982594907,0.0060404683431067785,0.004193789258409991,0.004166835482714644
Frac. RD (space),0.0,2,1,1,integer,integer,0.0,0.0006159874074351812,0.006056162500475209,0.00423800455755972,0.004221518532244794
Frac. RD (space),0.0,3,1,1,integer,integer,0.0,0.0006620946107558368,0.0060321258682720855,0.004254051305069364,0.004254082560810899
Frac. RD (space),0.0,4,1,1,integer,integer,0.0,0.0004640295602316158,0.00586276526748851,0.004123655408588084,0.004103967251388663
Frac. RD (time-space),0.0,0,1,1,fractional_subunit,fractional_subunit,0.0008138277474689648,0.00101432626296738,0.007902060121995761,0.006147211429508413,0.005255155036660019
Frac. RD (time-space),0.0,1,1,1,fractional_subunit,fractional_subunit,0.0008160378692713133,0.0009968314989705629,0.0077147408190604075,0.005992044773160936,0.005087809332584818
Frac. RD (time-space),0.0,2,1,1,fractional_subunit,fractional_subunit,0.000813121135107675,0.0009656927375485402,0.007668617060143712,0.005973615748179294,0.005074896851680631
Frac. RD (time-space),0.0,3,1,1,fractional_subunit,fractional_subunit,0.0008158734900344244,0.0010967671851798144,0.007824232767881942,0.0061332291250644905,0.005244874038466545
Frac. RD (time-space),0.0,4,1,1,fractional_subunit,fractional_subunit,0.0008133412222771641,0.0009391956996862572,0.007638385325032201,0.005982058124114139,0.005089650359378121
