benchmark,noise_percent,n_seeds,weak_symbolic_recovery,weak_e_alpha,weak_e_beta_max,weak_e_xi_max,weak_full_data_rel_l2,strong_symbolic_recovery,strong_e_alpha,strong_e_beta_max,strong_e_xi_max,strong_full_data_rel_l2
FADE,0.0,5,5,0.0009737397623513999,0.02551945561788931,0.02570946834399227,0.0014512503161364463,5,0.0028916553746512587,0.033065993203722235,0.03945955557289882,0.002731902957270571
FADE,1.0,5,5,0.0007378671873226273,0.024946153972516028,0.022246581350421797,0.0027140638825081187,0,nan,nan,nan,0.2659272214028518
FADE,5.0,5,5,0.00082825159623654,0.01973330889790592,0.027537594638448452,0.011383968802161864,4,0.19794630882499312,0.2986544926627914,1.1335186077859423,0.6299873830137448
FADE,10.0,5,5,0.0016065784039754672,0.07197291529393582,0.11943376550222065,0.022341640548224455,0,nan,nan,nan,0.8424469214388595
FADE,20.0,5,5,0.003248086454125465,0.22253402951159967,0.6864719641297612,0.04314128875672081,0,nan,nan,nan,0.8198301528383952
Fractional Burgers,0.0,5,5,0.0,2.039174262380428e-06,0.0017989878777081344,0.0015331122259800711,5,0.0,0.0001649524419111259,0.0018966665110408641,0.0018652429678891354
Fractional Burgers,1.0,5,5,0.0,0.00025730049904097995,0.0019471452127549026,0.005314287560310138,0,nan,nan,nan,0.7965985389084232
Fractional Burgers,5.0,5,5,0.0,0.001327695636933335,0.0029162463850400592,0.025392238849200062,0,nan,nan,nan,0.8457833572993385
Fractional Burgers,10.0,5,5,0.0,0.0027348725162417596,0.004961709001593965,0.05053404157251788,0,nan,nan,nan,0.833899346112147
Fractional Burgers,20.0,5,5,0.004406506700930879,0.00592197357626747,0.02129115658399715,0.10039115424040886,0,nan,nan,nan,0.8306557211368994
