dataset,truth,noise_percent,seed,method,noise_realization_sha256,status,error,selected_equation,selected_alpha,selected_terms,selected_coefficients,val_rel_mse,full_data_rel_l2,runtime_seconds,selected_c_active,support_size_match,support_power_recovered,rhs_operator_structure_recovered,full_operator_structure_recovered,alpha_abs_error_conditioned,mean_beta_abs_error_conditioned,max_beta_abs_error_conditioned,mean_coef_abs_error_conditioned,max_coef_abs_error_conditioned,max_coef_rel_error_conditioned,coef_l2_rel_error_conditioned,matching_json
paper_FADE_tsfade_fft,D_t^0.8 u = -1.0 D_x^1 u + 0.5 D_x^1.7 u,0.0,0,weak_pareto,d8b4c10641de7fd5d2658695c7a80a1c932b3097a085b30f44a451ef9e4e7adb,ok,,D_t^0.79903 u = (-0.99205)*D_x^0.99663 u + (0.48715)*D_x^1.72552 u,0.7990266590835915,"[[0, 0.9966324049388826], [0, 1.7255210202346571]]","[-0.9920519282583198, 0.4871459437446279]",2.1729972870666003e-06,0.00145125035179127,6.372753999999986,2,True,True,True,True,0.0009733409164085494,0.014444307647887289,0.025521020234657188,0.010401063998526167,0.012854056255372115,0.02570811251074423,0.013517354966920489,"[{""expected"": [0, 1.0], ""selected"": [0, 0.9966324049388826], ""selected_coefficient"": -0.9920519282583198, ""beta_abs_error"": 0.00336759506111739, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": -1.0, ""coef_abs_error"": 0.007948071741680218, ""coef_rel_error"": 0.007948071741680218}, {""expected"": [0, 1.7], ""selected"": [0, 1.7255210202346571], ""selected_coefficient"": 0.4871459437446279, ""beta_abs_error"": 0.025521020234657188, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": 0.5, ""coef_abs_error"": 0.012854056255372115, ""coef_rel_error"": 0.02570811251074423}]"
paper_FADE_tsfade_fft,D_t^0.8 u = -1.0 D_x^1 u + 0.5 D_x^1.7 u,1.0,0,weak_pareto,8118308e5b06923233ea9c45b3ce9c8a3b6e0696769cb627c2d82b6361b8a20d,ok,,D_t^0.79918 u = (-0.98783)*D_x^0.99584 u + (0.48649)*D_x^1.73298 u,0.7991822386757192,"[[0, 0.9958357409834917], [0, 1.7329764156579164]]","[-0.9878342207400626, 0.4864886730688836]",6.3814245376318205e-06,0.0025687754310895388,6.376193790999878,2,True,True,True,True,0.0008177613242807968,0.01857033733721236,0.032976415657916425,0.012838553095526922,0.013511326931116396,0.027022653862232793,0.0162619098617851,"[{""expected"": [0, 1.0], ""selected"": [0, 0.9958357409834917], ""selected_coefficient"": -0.9878342207400626, ""beta_abs_error"": 0.004164259016508298, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": -1.0, ""coef_abs_error"": 0.012165779259937448, ""coef_rel_error"": 0.012165779259937448}, {""expected"": [0, 1.7], ""selected"": [0, 1.7329764156579164], ""selected_coefficient"": 0.4864886730688836, ""beta_abs_error"": 0.032976415657916425, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": 0.5, ""coef_abs_error"": 0.013511326931116396, ""coef_rel_error"": 0.027022653862232793}]"
paper_FADE_tsfade_fft,D_t^0.8 u = -1.0 D_x^1 u + 0.5 D_x^1.7 u,5.0,0,weak_pareto,e5021e2cbc7eee07e04efb5d2654766ee9cf3b316bbcbcea8def0f4adb80a519,ok,,D_t^0.79974 u = (-0.98171)*D_x^0.99533 u + (0.49121)*D_x^1.74733 u,0.7997394612936728,"[[0, 0.9953335067913618], [0, 1.7473263021768508]]","[-0.9817114809880303, 0.49120655819704084]",0.00011594372135683602,0.01093321423559392,6.802649083000006,2,True,True,True,True,0.0002605387063272513,0.025996397692744533,0.047326302176850854,0.013540980407464431,0.018288519011969706,0.018288519011969706,0.018150361900374317,"[{""expected"": [0, 1.0], ""selected"": [0, 0.9953335067913618], ""selected_coefficient"": -0.9817114809880303, ""beta_abs_error"": 0.004666493208638212, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": -1.0, ""coef_abs_error"": 0.018288519011969706, ""coef_rel_error"": 0.018288519011969706}, {""expected"": [0, 1.7], ""selected"": [0, 1.7473263021768508], ""selected_coefficient"": 0.49120655819704084, ""beta_abs_error"": 0.047326302176850854, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": 0.5, ""coef_abs_error"": 0.008793441802959157, ""coef_rel_error"": 0.017586883605918313}]"
paper_FADE_tsfade_fft,D_t^0.8 u = -1.0 D_x^1 u + 0.5 D_x^1.7 u,0.0,1,weak_pareto,d8b4c10641de7fd5d2658695c7a80a1c932b3097a085b30f44a451ef9e4e7adb,ok,,D_t^0.79903 u = (-0.99205)*D_x^0.99663 u + (0.48714)*D_x^1.72552 u,0.799026424188819,"[[0, 0.9966312971444533], [0, 1.7255224624337384]]","[-0.9920498714472793, 0.48714182566135344]",2.0476566032885326e-06,0.0014512503237363035,6.532896750000191,2,True,True,True,True,0.0009735758111810711,0.014445582644642574,0.025522462433738458,0.01040415144568363,0.012858174338646555,0.02571634867729311,0.013521455286404927,"[{""expected"": [0, 1.0], ""selected"": [0, 0.9966312971444533], ""selected_coefficient"": -0.9920498714472793, ""beta_abs_error"": 0.0033687028555466902, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": -1.0, ""coef_abs_error"": 0.007950128552720703, ""coef_rel_error"": 0.007950128552720703}, {""expected"": [0, 1.7], ""selected"": [0, 1.7255224624337384], ""selected_coefficient"": 0.48714182566135344, ""beta_abs_error"": 0.025522462433738458, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": 0.5, ""coef_abs_error"": 0.012858174338646555, ""coef_rel_error"": 0.02571634867729311}]"
paper_FADE_tsfade_fft,D_t^0.8 u = -1.0 D_x^1 u + 0.5 D_x^1.7 u,1.0,1,weak_pareto,e0a003deec28276aa90acf6a65070e680286ba7ce76000f7bacd790641090c97,ok,,D_t^0.79956 u = (-0.99483)*D_x^0.99793 u + (0.49405)*D_x^1.72221 u,0.7995622280824759,"[[0, 0.9979328823638647], [0, 1.7222142290515292]]","[-0.9948333649963608, 0.49405443913434427]",7.618558689213551e-06,0.002835127473756759,7.167769417000045,2,True,True,True,True,0.00043777191752414346,0.012140673343832287,0.022214229051529255,0.00555609793464748,0.00594556086565573,0.01189112173131146,0.007045214618053644,"[{""expected"": [0, 1.0], ""selected"": [0, 0.9979328823638647], ""selected_coefficient"": -0.9948333649963608, ""beta_abs_error"": 0.0020671176361353183, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": -1.0, ""coef_abs_error"": 0.0051666350036392306, ""coef_rel_error"": 0.0051666350036392306}, {""expected"": [0, 1.7], ""selected"": [0, 1.7222142290515292], ""selected_coefficient"": 0.49405443913434427, ""beta_abs_error"": 0.022214229051529255, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": 0.5, ""coef_abs_error"": 0.00594556086565573, ""coef_rel_error"": 0.01189112173131146}]"
paper_FADE_tsfade_fft,D_t^0.8 u = -1.0 D_x^1 u + 0.5 D_x^1.7 u,5.0,1,weak_pareto,4bb7efd663c2cf70ca48ba2558f2534bcb294df635433bece43172dea8acdc6b,ok,,D_t^0.80156 u = (-1.0234)*D_x^1.00720 u + (0.53424)*D_x^1.68904 u,0.8015645571464832,"[[0, 1.0071955882024208], [0, 1.689036882791688]]","[-1.0233746215573793, 0.5342395691521838]",0.0001333186523406335,0.011692601073318591,6.447737624999945,2,True,True,True,True,0.001564557146483181,0.009079352705366417,0.010963117208312001,0.028807095354781598,0.034239569152183846,0.06847913830436769,0.03708067991477882,"[{""expected"": [0, 1.0], ""selected"": [0, 1.0071955882024208], ""selected_coefficient"": -1.0233746215573793, ""beta_abs_error"": 0.007195588202420833, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": -1.0, ""coef_abs_error"": 0.02337462155737935, ""coef_rel_error"": 0.02337462155737935}, {""expected"": [0, 1.7], ""selected"": [0, 1.689036882791688], ""selected_coefficient"": 0.5342395691521838, ""beta_abs_error"": 0.010963117208312001, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": 0.5, ""coef_abs_error"": 0.034239569152183846, ""coef_rel_error"": 0.06847913830436769}]"
paper_FADE_tsfade_fft,D_t^0.8 u = -1.0 D_x^1 u + 0.5 D_x^1.7 u,0.0,2,weak_pareto,d8b4c10641de7fd5d2658695c7a80a1c932b3097a085b30f44a451ef9e4e7adb,ok,,D_t^0.79903 u = (-0.99206)*D_x^0.99663 u + (0.48715)*D_x^1.72551 u,0.7990264024766265,"[[0, 0.9966339918271179], [0, 1.7255128482802364]]","[-0.9920584651532438, 0.48715021361685823]",2.2351726815639644e-06,0.0014512502898769491,7.057580250000001,2,True,True,True,True,0.0009735975233735594,0.014439428226559303,0.025512848280236478,0.010395660614948982,0.01284978638314177,0.02569957276628354,0.013511032109046724,"[{""expected"": [0, 1.0], ""selected"": [0, 0.9966339918271179], ""selected_coefficient"": -0.9920584651532438, ""beta_abs_error"": 0.003366008172882129, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": -1.0, ""coef_abs_error"": 0.007941534846756193, ""coef_rel_error"": 0.007941534846756193}, {""expected"": [0, 1.7], ""selected"": [0, 1.7255128482802364], ""selected_coefficient"": 0.48715021361685823, ""beta_abs_error"": 0.025512848280236478, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": 0.5, ""coef_abs_error"": 0.01284978638314177, ""coef_rel_error"": 0.02569957276628354}]"
paper_FADE_tsfade_fft,D_t^0.8 u = -1.0 D_x^1 u + 0.5 D_x^1.7 u,1.0,2,weak_pareto,165ee292424a8cc12e1526ab31e08f729c63f1075849b0e5a669cd2851c5d6c5,ok,,D_t^0.79900 u = (-0.99163)*D_x^0.99640 u + (0.48699)*D_x^1.72652 u,0.7989993118243424,"[[0, 0.9964002266968945], [0, 1.726522186784234]]","[-0.9916266024613984, 0.4869862799510114]",7.474273867261919e-06,0.0027362595357804586,6.53545158299994,2,True,True,True,True,0.0010006881756576824,0.015060980043669736,0.026522186784234014,0.010693558793795077,0.013013720048988597,0.026027440097977195,0.013841118332068462,"[{""expected"": [0, 1.0], ""selected"": [0, 0.9964002266968945], ""selected_coefficient"": -0.9916266024613984, ""beta_abs_error"": 0.003599773303105458, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": -1.0, ""coef_abs_error"": 0.008373397538601557, ""coef_rel_error"": 0.008373397538601557}, {""expected"": [0, 1.7], ""selected"": [0, 1.726522186784234], ""selected_coefficient"": 0.4869862799510114, ""beta_abs_error"": 0.026522186784234014, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": 0.5, ""coef_abs_error"": 0.013013720048988597, ""coef_rel_error"": 0.026027440097977195}]"
paper_FADE_tsfade_fft,D_t^0.8 u = -1.0 D_x^1 u + 0.5 D_x^1.7 u,5.0,2,weak_pareto,fe442093c666740565bca75206c899982d085cc354d4679992ffa3a217a9676d,ok,,D_t^0.79879 u = (-1.0041)*D_x^0.99898 u + (0.49605)*D_x^1.71082 u,0.7987921861650438,"[[0, 0.9989842143805738], [0, 1.7108168183902572]]","[-1.0040791312041193, 0.496048472001408]",0.00014326950266611193,0.01156054245333737,7.0532718330000534,2,True,True,True,True,0.0012078138349562728,0.0059163020048417225,0.010816818390257277,0.004015329601355644,0.004079131204119291,0.007903055997183994,0.005079675966364436,"[{""expected"": [0, 1.0], ""selected"": [0, 0.9989842143805738], ""selected_coefficient"": -1.0040791312041193, ""beta_abs_error"": 0.0010157856194261683, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": -1.0, ""coef_abs_error"": 0.004079131204119291, ""coef_rel_error"": 0.004079131204119291}, {""expected"": [0, 1.7], ""selected"": [0, 1.7108168183902572], ""selected_coefficient"": 0.496048472001408, ""beta_abs_error"": 0.010816818390257277, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": 0.5, ""coef_abs_error"": 0.003951527998591997, ""coef_rel_error"": 0.007903055997183994}]"
paper_FADE_tsfade_fft,D_t^0.8 u = -1.0 D_x^1 u + 0.5 D_x^1.7 u,0.0,3,weak_pareto,d8b4c10641de7fd5d2658695c7a80a1c932b3097a085b30f44a451ef9e4e7adb,ok,,D_t^0.79903 u = (-0.99205)*D_x^0.99663 u + (0.48715)*D_x^1.72552 u,0.7990266695533872,"[[0, 0.996632887076314], [0, 1.7255157807630193]]","[-0.9920547342157495, 0.4871469466395458]",2.1290502750421676e-06,0.0014512503102705335,6.559929499999953,2,True,True,True,True,0.0009733304466128523,0.014441446843352634,0.025515780763019302,0.010399159572352351,0.012853053360454225,0.02570610672090845,0.013515272222757805,"[{""expected"": [0, 1.0], ""selected"": [0, 0.996632887076314], ""selected_coefficient"": -0.9920547342157495, ""beta_abs_error"": 0.0033671129236859665, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": -1.0, ""coef_abs_error"": 0.007945265784250477, ""coef_rel_error"": 0.007945265784250477}, {""expected"": [0, 1.7], ""selected"": [0, 1.7255157807630193], ""selected_coefficient"": 0.4871469466395458, ""beta_abs_error"": 0.025515780763019302, ""matched"": true, ""operator_hit"": true, ""expected_coefficient"": 0.5, ""coef_abs_error"": 0.012853053360454225, ""coef_rel_error"": 0.02570610672090845}]"
