noise_model,n,beta,predicted_bias,observed_bias,monte_carlo_standard_error
additive_gaussian,64,1.0,1.4741220462344884e-18,-0.00012136640506938976,0.0007937795249804993
multiplicative_uniform,64,1.0,2.847862876591279e-19,-0.000846983610630984,0.0003376777729096802
additive_gaussian,64,1.7,-8.388373278965267,-8.36044561075124,0.030437657067651322
multiplicative_uniform,64,1.7,-1.852841687662423,-1.8471715009699998,0.00525034901689178
additive_gaussian,128,1.0,-6.8735112574579156e-18,0.00024538798585384296,0.0006756311168557072
multiplicative_uniform,128,1.0,-1.5609856127421734e-18,-0.0001565638052935033,0.000256899421187949
additive_gaussian,128,1.7,-27.246344984034927,-27.23073436989803,0.07018190454977917
multiplicative_uniform,128,1.7,-6.018232000503059,-6.03233354122628,0.011995583880928666
additive_gaussian,256,1.0,1.5377390066343544e-18,0.0004857616741313924,0.0008610376538583558
multiplicative_uniform,256,1.0,3.2394090423483024e-19,0.00019172967933493376,0.00029291082300721095
additive_gaussian,256,1.7,-88.51747428865498,-88.6033589049896,0.22604803724953804
multiplicative_uniform,256,1.7,-19.551933673716338,-19.58213604392534,0.03952872186228853
