check,n,error,rate
periodic_riesz,32,7.653203124446877e-15,nan
periodic_riesz,64,2.0826028283410927e-14,nan
periodic_riesz,128,7.909804654427306e-14,nan
periodic_riesz,256,1.945627776659243e-13,nan
caputo_l1_subunit,65,0.005207111611904976,nan
caputo_l1_subunit,129,0.0021456450318053074,1.2790719092372804
caputo_l1_subunit,257,0.0008785516408884653,1.2882124264547499
caputo_l1_subunit,513,0.0003584623459470499,1.2933055082238902
caputo_l1_superunit,65,0.011975108252292515,nan
caputo_l1_superunit,129,0.005245463367986297,1.1908965709042691
caputo_l1_superunit,257,0.0022903985192389343,1.1954715789068042
caputo_l1_superunit,513,0.0009985094552360425,1.1977506485046336
