benchmark,noise_percent,seed,arm,alpha,alpha_mode,best_beta,validation_error,true_alpha,target_noise_l2,initial_slice_effect_l2,target_variance_clean,target_variance_noisy,temporal_adjoint_weight_norm
Frac. RD (space),0.0,0,clean,0.8,fractional_subunit,1.6635338566549789,0.008308080596974502,1.0,0.0,0.0,5.29578438346491e-07,5.29578438346491e-07,35.42225491186006
Frac. RD (space),0.0,0,fully_noisy,0.8,fractional_subunit,1.6635338566549789,0.008308080596974502,1.0,0.0,0.0,5.29578438346491e-07,5.29578438346491e-07,35.42225491186006
Frac. RD (space),0.0,0,clean_initial_slice,0.8,fractional_subunit,1.6635338566549789,0.008308080596974502,1.0,0.0,0.0,5.29578438346491e-07,5.29578438346491e-07,35.42225491186006
Frac. RD (space),0.0,0,target_only_noise,0.8,fractional_subunit,1.6635338566549789,0.008308080596974502,1.0,0.0,0.0,5.29578438346491e-07,5.29578438346491e-07,35.42225491186006
Frac. RD (space),0.0,0,library_only_noise,0.8,fractional_subunit,1.6635338566549789,0.008308080596974502,1.0,0.0,0.0,5.29578438346491e-07,5.29578438346491e-07,35.42225491186006
Frac. RD (space),0.0,0,clean,0.8024875,fractional_subunit,1.6634683147926157,0.00811421585089479,1.0,0.0,0.0,5.306381333024073e-07,5.306381333024073e-07,35.5691676331003
Frac. RD (space),0.0,0,fully_noisy,0.8024875,fractional_subunit,1.6634683147926157,0.00811421585089479,1.0,0.0,0.0,5.306381333024073e-07,5.306381333024073e-07,35.5691676331003
Frac. RD (space),0.0,0,clean_initial_slice,0.8024875,fractional_subunit,1.6634683147926157,0.00811421585089479,1.0,0.0,0.0,5.306381333024073e-07,5.306381333024073e-07,35.5691676331003
Frac. RD (space),0.0,0,target_only_noise,0.8024875,fractional_subunit,1.6634683147926157,0.00811421585089479,1.0,0.0,0.0,5.306381333024073e-07,5.306381333024073e-07,35.5691676331003
Frac. RD (space),0.0,0,library_only_noise,0.8024875,fractional_subunit,1.6634683147926157,0.00811421585089479,1.0,0.0,0.0,5.306381333024073e-07,5.306381333024073e-07,35.5691676331003
Frac. RD (space),0.0,0,clean,0.804975,fractional_subunit,1.6634029285054077,0.007922996398661755,1.0,0.0,0.0,5.317001527953415e-07,5.317001527953415e-07,35.718130727258284
Frac. RD (space),0.0,0,fully_noisy,0.804975,fractional_subunit,1.6634029285054077,0.007922996398661755,1.0,0.0,0.0,5.317001527953415e-07,5.317001527953415e-07,35.718130727258284
Frac. RD (space),0.0,0,clean_initial_slice,0.804975,fractional_subunit,1.6634029285054077,0.007922996398661755,1.0,0.0,0.0,5.317001527953415e-07,5.317001527953415e-07,35.718130727258284
Frac. RD (space),0.0,0,target_only_noise,0.804975,fractional_subunit,1.6634029285054077,0.007922996398661755,1.0,0.0,0.0,5.317001527953415e-07,5.317001527953415e-07,35.718130727258284
Frac. RD (space),0.0,0,library_only_noise,0.804975,fractional_subunit,1.6634029285054077,0.007922996398661755,1.0,0.0,0.0,5.317001527953415e-07,5.317001527953415e-07,35.718130727258284
Frac. RD (space),0.0,0,clean,0.8074625000000001,fractional_subunit,1.6633376972549314,0.007734409437916494,1.0,0.0,0.0,5.327644968252937e-07,5.327644968252937e-07,35.86915728852505
