method,noise_percent,seed,alpha_mode,alpha,beta,coefficient,branch_recovered,operator_recovered,e_alpha,e_beta,e_coefficient_relative,val_rel_mse,full_data_rel_l2,runtime_seconds,selected_equation
Strong Pareto,0.0,0,fractional_superunit,1.6595891391529047,1.9984260641621827,0.1154624386360584,True,True,0.009589139152904824,0.0015739358378172863,0.037813011366179955,0.0004682907330476078,0.021645073842708643,0.14566637499956414,D_t^1.65959 u = (0.11546)*D_x^1.99843 u
Strong Pareto,0.0,1,fractional_superunit,1.6593300772795545,1.998485490977547,0.11542071721996597,True,True,0.009330077279554594,0.0015145090224530922,0.038160689833616895,0.00042016900572245183,0.02163709755857432,0.1477946660015732,D_t^1.65933 u = (0.11542)*D_x^1.99849 u
Strong Pareto,0.0,2,fractional_superunit,1.6584646756021493,1.998823766802548,0.11544321285565776,True,True,0.008464675602149363,0.0011762331974520812,0.037973226202852,0.0004655889671385322,0.021645239281034723,0.15024450000055367,D_t^1.65846 u = (0.11544)*D_x^1.99882 u
Strong Pareto,0.0,3,fractional_superunit,1.659237423518685,1.9986595142369117,0.11546219305363861,True,True,0.009237423518685173,0.0013404857630883171,0.037815057886344865,0.0004901983683387192,0.021625900300484367,0.14867716700246092,D_t^1.65924 u = (0.11546)*D_x^1.99866 u
Strong Pareto,0.0,4,fractional_superunit,1.6588563678528072,1.9988836284484093,0.11539725485054825,True,True,0.008856367852807301,0.0011163715515907224,0.038356209578764566,0.0004415080285771253,0.021630239070417456,0.15048862499679672,D_t^1.65886 u = (0.1154)*D_x^1.99888 u
Strong Pareto,0.5,0,integer,1.0,1.7912218791047172,0.1002723249513042,False,False,0.6499999999999999,0.2087781208952828,0.16439729207246498,0.6323619846805919,0.7852200572521454,0.15399620899916044,partial_t u = (0.10027)*D_x^1.79122 u
Strong Pareto,0.5,1,integer,1.0,1.7943616931199315,0.10114926108381642,False,False,0.6499999999999999,0.20563830688006846,0.1570894909681965,0.6229880738374894,0.7845407769159779,0.15332020800269675,partial_t u = (0.10115)*D_x^1.79436 u
Strong Pareto,0.5,2,integer,1.0,1.8030875175734116,0.09627346900096781,False,False,0.6499999999999999,0.19691248242658843,0.19772109165860155,0.5920743581529957,0.7871718272939073,0.1476005830008944,partial_t u = (0.096273)*D_x^1.80309 u
Strong Pareto,0.5,3,integer,1.0,1.7932886546160607,0.09821826147815976,False,False,0.6499999999999999,0.20671134538393932,0.18151448768200196,0.6043403547853701,0.7865009932643112,0.14935629200044787,partial_t u = (0.098218)*D_x^1.79329 u
Strong Pareto,0.5,4,integer,1.0,1.805458102141989,0.09803320184025752,False,False,0.6499999999999999,0.1945418978580109,0.18305665133118734,0.6023263964038611,0.7862900747102296,0.1567940409986477,partial_t u = (0.098033)*D_x^1.80546 u
