experiment,benchmark,width,noise,n_seeds,support_recovered,operator_recovered,weak_rows,e_alpha_mean,e_alpha_std,e_beta_max_mean,e_beta_max_std,e_xi_max_mean,e_xi_max_std,seconds_mean
A,A,paper-rule,0.0,5,5,5,48000,0.0003406152010199559,6.365888105650888e-05,0.0023963736302514693,4.1369781818218194e-05,0.009176091062313815,0.0001013850217915539,21.054696620199955
A,A,paper-rule,0.01,5,5,5,48000,0.00033778447365462316,4.8122566553437334e-05,0.0023789816603957624,0.00010272113433465823,0.009278875470094995,0.00014792876353468345,20.0602069296001
A,A,paper-rule,0.05,5,5,5,48000,0.0003343986697528889,0.00020753392011932476,0.0022911985274819634,0.00041718719193483393,0.009669791965145447,0.0006847898249539375,18.423504142600088
A,A,paper-rule,0.1,5,5,5,48000,0.0004601590715068715,0.00029761598130447533,0.002140646612525954,0.0008129659238051502,0.010111233068812049,0.0013775883025732118,19.773761523399934
A,A,paper-rule,0.2,5,5,5,48000,0.0008127108351294154,0.0005420326441351016,0.002170364093191335,0.0013955725367171838,0.011120916193762823,0.0022931883067710958,20.596943635799835
B,B,paper-rule,0.0,5,5,5,48000,0.0016669024325611126,5.2709423971490795e-05,0.004677038574955672,0.00023963448999176005,0.008336954381138347,0.0002944125743100328,22.327549977999933
B,B,paper-rule,0.01,5,5,5,48000,0.001690402790510004,9.622635909262915e-05,0.004474078680431592,0.0003330945109167947,0.008997098517287394,0.0007429070453924778,22.340305773599994
B,B,paper-rule,0.05,5,5,5,48000,0.0017681775441007242,0.0004089684311526599,0.004826541551799091,0.0004494155035022401,0.013359310541631336,0.001974333042436867,22.235261585199986
B,B,paper-rule,0.1,5,5,5,48000,0.0018417068266003422,0.0008137834465248269,0.006514220892512368,0.00083784797848962,0.02166056437302148,0.003755176215233647,21.463994485999866
B,B,paper-rule,0.2,5,5,5,48000,0.002074359462522746,0.0013328997460096068,0.012208403177883787,0.0025891366414042744,0.04797697134191103,0.008903746833375808,22.34077461980005
ablation,B,0.1,0.05,5,5,5,48000,0.0015040744603964206,0.0003369006806668297,0.008748865339476808,0.0008000078489815536,0.006692145341437512,0.0011864479420809876,25.76462852320001
ablation,B,0.16,0.05,5,0,0,48000,nan,nan,nan,nan,nan,nan,24.515003146399884
ablation,B,0.24,0.05,5,0,0,48000,nan,nan,nan,nan,nan,nan,25.358211093000044
ablation,B,paper-rule,0.05,5,5,5,48000,0.0017681775441007242,0.0004089684311526599,0.004826541551799091,0.0004494155035022401,0.013359310541631336,0.001974333042436867,25.92228539879998
